Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-10-31,Rosemary's Baby,1968,https://boxd.it/bxZk0R,4.5,,"1. Rosemary’s only mistake was not instantly leaving when Guy said he enjoyed role playing necrophilia🚩😟
2. I think I enjoy Get Out so much cause I get to see everyone I hate in the movie get brutally beaten to death, tragic it didn’t happen here",,2025-10-30
2025-11-04,Isle of Dogs,2018,https://boxd.it/bAPUeH,4.5,,The first pro-gossip movie ever made?,,2025-11-03
2025-11-04,The Warriors,1979,https://boxd.it/bBgkpj,4,,"CAN YOU DIG IT? Stole the whole movie with 2 minutes of screen time, most impressive thing I’ve ever seen",,2025-11-04
2025-11-05,King of New York,1990,https://boxd.it/bBPnMv,2.5,,"Really wished I liked this more, could’ve used another 15 minutes (or be directed my Michael Mann👀). Laurence Fishburne absolutely steals the show though, what a fun performance",,2025-11-05
2025-11-07,The Naked Gun,2025,https://boxd.it/bCKoV3,3.5,,"What a weird Kingsman remake
(Everything Happy Gilmore 2 wishes it was)",,2025-11-06
2025-11-13,Popstar: Never Stop Never Stopping,2016,https://boxd.it/bHjt8B,3,,When is Tim Meadows gonna complete his trilogy of music mockumenteries with Walk Hard and Popstar? The people need it,,2025-11-13
2025-11-18,Edward Scissorhands,1990,https://boxd.it/bKUtMd,3,,"Everyone look up Anthony Michael Hall on IMDB right now, proof of perfect casting right there. Something mischievous in those eyes",,2025-11-18
2025-11-21,Small Things Like These,2024,https://boxd.it/bMeoY3,2.5,,"Most depressing Christmas movie ever made? Takes slow-burn to a whole new level, but Emily Watson steals the show. Sorry Shane😔",,2025-11-20
2025-11-24,Labyrinth,1986,https://boxd.it/bP5Io9,2,,"Made David Bowie into a creep going after a 15 year old. Bad movie, don’t do that. Also Gonzo clears every character in this easily, and he’s like maybe top 5 muppet",,2025-11-23
2025-11-26,Killer's Kiss,1955,https://boxd.it/bQpsIB,1.5,,"The Killing is a significant ramping up for Kubrick in everything after this, pace, story, characters. Surprisingly nice cinematography though",,2025-11-26
2025-11-30,Sorcerer,1977,https://boxd.it/bSXjuh,4,,Can’t wait to rewatch the rope bridge scene 10 times this week,,2025-11-29
2025-12-01,The Incredible Melting Man,1977,https://boxd.it/bTfpUL,2,,"“I got an idea, let’s kill the happy cute old couple and not the creepy photographer”😐 classic 70s",,2025-11-30
2025-12-01,Don't Worry Darling,2022,https://boxd.it/bTH3GD,3,,He CHOSE to be British?? Honestly that alone is the scariest thing in the entire movie,,2025-11-30
2025-12-01,Sisu: Road to Revenge,2025,https://boxd.it/bTPbQd,3.5,,"Do not get it twisted, this is a superhero movie",,2025-12-01
2025-12-02,Krampus,2015,https://boxd.it/bUfQth,1.5,,More like Crap-Piss,,2025-12-01
2025-12-02,Wicked,2024,https://boxd.it/bUsZnt,4,Yes,Was scared to revisit but that 160 minute runtime flies by. Optimistic for part 2 tomorrow,,2025-12-02
2025-12-03,Wicked: For Good,2025,https://boxd.it/bUYLhb,3.5,,"Never thought I’d be campaigning for Ariana Grande to win an Oscar, but here we are. More than anything she embarrassed Michelle Yeoh’s sleepy ah performance",,2025-12-02
